group,names,scores,logfoldchanges,pvals,pvals_adj
0,CCL5,26.317142,5.0237823,1.220771215213284e-152,2.6848421336185755e-148
0,CD8A,22.11541,4.3165793,2.246591252405974e-108,2.4704640707082295e-104
0,HLA-B,21.382172,1.3702906,1.958003967549973e-101,1.4354127086108854e-97
0,CD7,20.512785,3.2020466,1.6553841531982952e-93,9.101715920322527e-90
0,ZFP36L2,19.186749,2.2773218,4.776108482693963e-82,2.1008190771977666e-78
1,HSPA1A,14.874508,4.4859447,4.825197566873181e-50,1.0612057008824187e-45
1,DNAJB1,14.48608,3.6301856,1.4837250324487466e-47,1.6315782319322643e-43
1,HSPA8,13.567626,2.571247,6.23074940530438e-42,4.5677623890286416e-38
1,HSPA1B,13.2710905,3.8200054,3.4058685804113617e-40,1.872631692224677e-36
1,HSPH1,12.604208,2.848168,2.0017353041322658e-36,8.804832908756184e-33
2,CTSB,28.252508,5.5500994,1.3258672914861055e-175,2.915979934165392e-171
2,APOC1,28.214512,7.942426,3.8813798275920395e-175,4.2681593274115865e-171
2,FTL,28.162693,4.7372384,1.675492756112248e-174,1.2283037395058891e-170
2,CD68,27.941689,5.666074,8.318404304212596e-172,4.573666646563691e-168
2,APOE,27.717693,8.429158,4.273533237185411e-169,1.8797563297083747e-165
3,TIMP1,14.865562,5.4637833,5.5149778640986275e-50,1.2129090816512112e-45
3,SLC11A1,14.661282,5.172786,1.1409896207661335e-48,1.2546892364754788e-44
3,VCAN,14.431669,5.6327963,3.2707046635077673e-47,2.3977535888175444e-43
3,FCN1,14.021481,6.597584,1.151869239658347e-44,6.333265046951508e-41
3,LYZ,13.968028,5.2147565,2.4429831825328284e-44,1.0745705826688899e-40
4,HSPA1A,16.020155,4.4039903,9.241938733657936e-58,2.03257958569339e-53
4,DNAJB1,15.782655,3.5807707,4.095913383570573e-56,4.504071152243381e-52
4,HSPA1B,14.888221,3.9695141,3.930940176219392e-50,2.8817722431864365e-46
4,CD83,14.758482,3.2299097,2.7131994504374557e-49,1.491784887836774e-45
4,MS4A1,14.422273,4.39924,3.7479419156838616e-47,1.6485697310327032e-43
5,KRT19,20.58134,8.197846,4.0337294057612226e-94,8.871381082090657e-90
5,KRT6A,19.880066,10.7063675,6.055397070835877e-88,2.663526955577869e-84
5,KRT5,19.84127,9.804565,1.3110147769278378e-87,4.80552466482899e-84
5,S100A2,19.548584,9.42713,4.241267152400755e-85,1.3325455497535686e-81
5,KRT15,19.017801,9.265487,1.2146976882393994e-80,2.968316250827679e-77
6,IL7R,17.006742,3.1675346,7.319493495270234e-65,1.1466758131122367e-60
6,SARAF,16.985992,1.8181918,1.0427643460303157e-64,1.1466758131122367e-60
6,SPOCK2,16.556469,2.6980188,1.4378753741349939e-61,1.054106436778364e-57
6,EEF1A1,16.168869,1.134293,8.36194004551817e-59,4.597603685527028e-55
6,TPT1,14.456584,0.9409102,2.278282313894869e-47,1.002125258589797e-43
7,NAMPT,6.7882648,4.9835715,1.1349025042264499e-11,2.4959910775452313e-07
7,CXCL8,6.365757,8.386003,1.943287280677974e-10,2.1369358581975345e-06
7,FTH1,6.2886386,3.8244238,3.2026222710526014e-10,2.3478423869086622e-06
7,TOM1,6.1906867,5.041162,5.990258248822202e-10,2.6348749933269337e-06
7,SOD2,6.090725,4.1869025,1.1240039447743312e-09,2.635623476448442e-06
8,CCL5,18.602053,4.1447988,3.0923256275643237e-77,6.800951752702217e-73
8,DNAJB1,15.794189,2.7590945,3.4115154072531685e-56,3.751472917585947e-52
8,HSPA1A,15.268306,3.2525115,1.2436162938928175e-52,8.655134925914004e-49
8,NKG7,14.627243,3.5394702,1.8826335434248577e-48,8.280951904108578e-45
8,HSPA1B,14.433745,3.0939715,3.173679875519893e-47,1.1633123583718168e-43
9,SSR4,13.466958,3.5797822,2.447429356561246e-41,5.382631383885149e-37
9,MZB1,13.287654,8.461731,2.7300469795204887e-40,3.0020961610297057e-36
9,JCHAIN,10.905417,8.569053,1.085937503103526e-27,7.96100783525195e-24
9,IGHA1,10.74408,7.2122912,6.318894727264835e-27,3.474286293418388e-23
9,DERL3,10.507445,7.203951,7.982689605198277e-26,3.511265849742514e-22
10,IFITM3,8.745365,4.593009,2.2229623570580668e-18,4.462862046285638e-14
10,TM4SF1,8.67714,6.751414,4.058438636189367e-18,4.462862046285638e-14
10,MGP,8.542667,8.714417,1.3115863933892577e-17,9.615239849936648e-14
10,IGFBP7,8.467726,8.520802,2.502304721850753e-17,1.1554676662625116e-13
10,TIMP3,8.462063,6.845223,2.626898709276842e-17,1.1554676662625116e-13
11,CST3,10.90848,5.272428,1.0499790522540143e-27,2.309218929622254e-23
11,CD74,10.466588,3.9295452,1.2299668836251035e-25,1.3525330835783453e-21
11,HLA-DRA,10.315613,4.4481955,5.9898032670312775e-25,4.39112477506063e-21
11,HLA-DPA1,10.227028,3.9227316,1.5005352850636807e-24,8.250318131101383e-21
11,SPI1,9.944672,3.4781814,2.660506627884575e-23,1.1702504453413091e-19
12,TPSAB1,15.317003,12.419551,5.886952779207716e-53,1.294717524731153e-48
12,TPSB2,15.123124,12.221041,1.140039748727354e-51,1.2536447096880348e-47
12,CPA3,14.936821,12.568473,1.8981670658900863e-50,1.3915462760040223e-46
12,SLC24A3,14.160149,10.259726,1.616520391906439e-45,8.888033244799578e-42
12,TPSD1,13.800886,12.608098,2.5173930592216533e-43,1.1073005110292364e-39
13,SLPI,11.690882,8.515142,1.4190512304219594e-31,3.1209193710670156e-27
13,WFDC2,11.11235,11.56925,1.0924532162746407e-28,1.2013161792764087e-24
13,AGR3,10.389133,13.036486,2.7786694179482398e-25,2.0370425502978546e-21
13,AGR2,10.3181715,8.274447,5.832347190529245e-25,3.2067702940327424e-21
13,SFTPB,10.125362,12.5645895,4.263946656780177e-24,1.8755395764513284e-20
14,CD79A,19.985659,5.3505907,7.341126082004885e-89,1.6145338592153344e-84
14,MS4A1,19.015402,5.567742,1.2715847854168957e-80,1.3982982092836894e-76
14,CD37,17.9521,2.5616572,4.62091039448383e-72,3.3875894101960956e-68
14,RPS23,16.930105,1.2655734,2.6989905998500906e-64,1.483972506562576e-60
14,HLA-DQB1,16.65294,2.8690033,2.8808634091542187e-62,1.2671765791505745e-58
15,MT-CO2,10.130126,1.6694573,4.0612515235825944e-24,9.924344973128e-21
15,MT-CO1,10.105805,1.7742606,5.206584761630498e-24,1.1450841866253953e-20
15,MT-ND4L,9.269337,1.7186985,1.8730749495670856e-20,1.7910668419925616e-17
15,MALAT1,9.1897335,1.8497416,3.9381690475942603e-20,3.331236610143868e-17
15,FYN,9.163459,3.1754222,5.0259792593571473e-20,3.8115986845186807e-17
16,IGFBP7,8.808389,8.801802,1.2695708673589986e-18,2.7921672085826458e-14
16,COL6A2,8.592791,9.410381,8.488238305246546e-18,5.6130566803297687e-14
16,IFITM3,8.591521,4.930975,8.582535337699861e-18,5.6130566803297687e-14
16,CALD1,8.549784,8.098434,1.2331980058554411e-17,5.6130566803297687e-14
16,SPARC,8.5458355,8.555043,1.2761007321260785e-17,5.6130566803297687e-14
